objectid_1,objectid,acreage,sqft,final_cat,type_,sector,origpkname,updatepknm,alterntnam,divname,shape_leng,globalid,created_user,created_date,last_edited_user,last_edited_date,maintenanceresponsibility,dpw_ac,GlobalID_2,Shape__Area,Shape__Length
72,174,0.36176319,15758.34151919,Public School,SCH,10,Sterrett School,Sterrett School,Sterrett School,Eastern,463.3846429,b3f7c2e7-4ae8-48f0-8a52-ce76c705e7be,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,,0.209271536938466,0b64ec3a-3286-4990-ac89-f9cf7cc31277,1464.00390625,185.811096022342
73,173,0.65315794,28451.44592144,Public School,SCH,1,Spring Garden School,Spring Garden School,Spring Garden School,Northern,548.0688172,4fbc010b-b584-47c3-aaeb-606dd8bbb4d7,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,,0.377628743419746,514348a3-242c-45d8-a527-f335fb320145,2643.234375,219.567607075523
74,200,0.99455916,43322.82351679,Riverfront Park,RVR,16,Alcoa Park,Alcoa Park,Alcoa Park,State,912.32869495,66d69aea-4c7d-4aac-8aa6-9c7ef7453247,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northern,0.575309854258376,851581ca-4272-4eb1-9fa3-702fbf72bcdc,4024.828125,365.238981793713
75,157,0.03253361,1417.15847623,Beautification Site,BTF,10,Regent Square War Memorial,Regent Square War Memorial,Regent Square War Memorial,Eastern,111.75597167,5326f0a6-c72f-47bf-83d9-e739277fda7c,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,3rd Division,1.88256169210683E-02,cf1c599f-a5b1-437c-9668-76b3cb0fd7fd,131.6640625,44.7732989963624
76,162,0.97105979,42299.19516268,Neighborhood Park,NP,9,Saline St Parklet,Saline Street Green Space,Saline Street Park,Schenley,683.78369115,c9d04732-f884-4f01-b246-e63df43fedb8,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,3rd Division,0.562011862841636,62062f33-4711-44b0-b79b-7a31d8eab0e9,3929.73828125,273.973750005041
77,56,4.34142082,189111.53466589,Beautification Site,BTF,12,East Liberty Strip,East Liberty Blvd Strip,East Liberty Strip,Northeast,8837.89098497,8121f4fa-9924-4f9a-8873-2f401c09de85,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northeast,2.51003242072672,ed5e1bf8-a1d0-4fad-8c6e-cfec7fa3e1be,17569.05078125,3541.12631433603
78,82,0.44712072,19476.50061573,Beautification Site,BTF,14,Harris Triangle,Harris Triangle,Harris Triangle,Northeast,646.68556183,d842d827-fc4b-4451-98da-151fc35d1a76,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,3rd Division,0.258573604065345,aea80c51-59fb-43da-97f2-9ca53ed1165a,1809.4375,259.524430389258
79,3,4.33329299,188757.48779264,Community Park,CP,3,Allegheny Center Plaza Park,Buhl Community Park at Allegheny Square,Buhl Community Park at Allegheny Square,State,1999.77616622,8d8c8881-084a-4daf-b347-d9e9dc83f9b7,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northern,2.50624171968508,346f9fe5-7c57-4ca1-96e4-478131603f45,17536.22265625,801.437294222928
80,111,0.26446693,11520.13348561,Other,OTR,3,Loraine St Tot Lot,Loraine St Park,Loraine St Tot Lot,Northern,333.32413188,bcd30104-5771-41b0-84f9-79aa9187f0e8,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,1st Division,0.152931202836983,ef31cdb2-ced3-435e-9d47-ecfeb2f6c475,1070.2578125,133.560720306673
81,135,0.52785852,22993.42500495,Beautification Site,BTF,12,Negley Run Strip,Negley Run Strip,Negley Run Strip,Northeast,2218.24432926,8ac3fca1-8733-447b-988f-7aee4671ad77,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,2nd Division,0.305173065851135,0397299d-73cd-4e7b-a952-63b25517acc9,2136.16796875,888.777460159789
82,19,0.4475802,19496.51571799,Beautification Site,BTF,16,Bedford Strip,Bedford Strip,Bedford Strip,Schenley,1553.55958981,dfea1aef-b523-4d33-af69-492304f521a0,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,3rd Division,0.258935333587447,42a31886-26e0-4b9b-ab24-2278851cf213,1811.29296875,621.997643056603
83,163,0.58347686,25416.1501698,Beautification Site,BTF,10,Saline St Passive Area,Saline St Passive Area,Saline St Passive Area,Schenley,586.93326181,dddea333-de61-4d3e-82ef-0c05ef00d7be,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,3rd Division,0.337794573743559,865b90f0-6f48-40f3-af03-0a94ce6e9218,2361.26171875,234.989365058319
84,195,0.10306212,4489.36795331,Beautification Site,BTF,10,Windermere Circle 1 & 2,Windermere Circle 1 & 2,Windermere Circle 1 & 2,Eastern,286.38037285,c486c01d-a722-4530-8c78-9f4a243b4d7f,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,3rd Division,0.059660020273279,5f49f00e-1a66-44a7-b98b-bf1a9e2822e4,417.0703125,114.703105266777
85,182,0.40689817,17724.4132478,Beautification Site,BTF,10,Vietnam Island,Vietnam Island,Vietnam Island,Eastern,899.71781979,0b4033fe-1588-4f0d-a39e-8d4212910b61,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,3rd Division,0.235438637295322,fedb0e8c-9406-4a2f-b558-46aaec359f8e,1646.66796875,359.951227654216
86,217,0.26485281,11536.94246661,Special Use Park,SU,,,Oliver Bath House,,,,,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Southern,0.153286178640392,7a201cdc-29f5-42d6-9453-682d13ff2543,1071.8203125,133.510082626291
87,131,1.03856475,45239.69950159,Beautification Site,BTF,12,Morrow Triangle,Morrow Triangle Park,Morrow Triangle,Northeast,682.96902252,074eb498-c5ce-4a44-a57e-3da9bb631f88,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northeast,0.600600832149799,ed63e0a7-df15-4b7a-b952-fa897bffeb33,4202.94140625,273.71163679685
