objectid_1,objectid,acreage,sqft,final_cat,type_,sector,origpkname,updatepknm,alterntnam,divname,shape_leng,globalid,created_user,created_date,last_edited_user,last_edited_date,maintenanceresponsibility,dpw_ac,GlobalID_2,Shape__Area,Shape__Length
129,112,10.61911052,462566.60399365,Neighborhood Park,NP,9,Magee Playground,Magee Park,Magee Park,Schenley,2175.67690171,45b6cc70-4efb-4c09-9430-d2401edca968,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Schenley,6.14670870028591,e2c178ac-c6fc-4fcd-9e8b-9ed4a4f01303,42974.015625,872.004164494663
130,118,6.01669289,262086.09387575,Neighborhood Park,NP,15,Martin Luther King Field,Martin Luther King Park,Martin Luther King Park,Schenley,1676.04109057,bfb9c411-1a59-4391-b943-43f1c525cdb4,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Schenley,3.4811634516045,6df09895-c785-4266-9107-9e1131f32b93,24348.6953125,671.623973371154
131,181,0.18713935,8151.75755522,Neighborhood Park,NP,15,Tustin Tot Lot,Tustin Park,Tustin Park,Schenley,274.80882389,a5cbdc1d-502c-4d79-aa95-21d0699e578b,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Schenley,0.10828599212621,8f59882f-1b6b-473e-8629-5c248ed16a33,757.328125,110.109747161702
132,161,21.28921889,927354.66525832,Neighborhood Park,NP,15,Robert E Williams Park,Robert E. Williams Park,Robert E. Williams Herron Hill Park,Schenley,2850.69033333,4390547d-5c60-4ce3-af1e-6850bc23786a,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Schenley,12.3121982870022,9b4cd294-936c-4d5b-ad92-4f6bf16bf137,86154.421875,1142.48022982128
133,205,0.16838336,7334.74993505,Neighborhood Park,NP,14,Dunseith Tot Lot (Shalane's Play Yard),Shalane's Play Yard Park,Dunseith Park (Shalane's Play Yard),Schenley,262.06694187,9177883a-579b-4f61-a9a2-8be643b68407,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Schenley,9.74161953257708E-02,83c8b6fb-0ecb-4ccd-a34f-09b2b11f9a66,681.42578125,105.031541778236
135,81,1.11188206,48433.38873139,Neighborhood Park,NP,15,Granville Parklet,Granville Park,Granville Park,Schenley,699.57107337,eea870bf-624f-48a6-86ba-81f5b2b87dae,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Schenley,0.643230897739918,d3a7b142-581a-4f47-8bd1-46a36b651233,4499.62890625,280.409837523843
136,212,2.09963836,91459.88097235,Community Park,CP,4,Tuxedo Street Skate Park,Tuxedo Street Skate Park,Tuxedo Street Skate Park,Western,898.47162146,d54d5c1a-2212-4d36-8d4a-11f7d43e3c7f,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Western,1.21433325837214,b58308a4-4ad3-404b-b2ef-1851b4841346,8496.94140625,359.96634957482
137,96,23.22185502,1011539.95870284,Neighborhood Park,NP,15,Kennard Playground,Kennard Park,Kennard Park,Schenley,3273.39535077,6354bb5b-f289-4868-a4b7-04d9ceb09d7b,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Schenley,13.4346830646277,f98e5260-c831-4432-904e-1e4113dbd012,93975.515625,1312.7532441719
138,105,1.5458806,67338.28961938,Neighborhood Park,NP,9,Lewis Playground,Lewis Park,Lewis Park,Schenley,796.3927443,635c355b-aae2-42d7-ab29-d1d6a357bf97,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Eastern,0.895134516650851,105644dd-34b4-4ac1-82b1-6a093e724fbd,6255.96484375,319.085515511555
139,176,5.92808111,258226.18033103,Neighborhood Park,NP,13,Sullivan Playground,Sullivan Park,Sullivan Park,Northeast,1791.92643888,58ad185e-9524-4e93-bc10-328dd2172dc1,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northeast,3.42760093099757,90959c57-a6eb-4e26-bb00-25bc44e95d02,23990.09765625,718.072031697461
